order_item_id,order_id,product_id,quantity,unit_price,subtotal
87,26,5,4,436.9,1747.6
88,27,13,3,231.34,694.02
89,27,2,1,195.91,195.91
90,27,11,5,236.31,1181.55
91,27,5,2,436.9,873.8
92,27,18,4,28.22,112.88
93,28,14,3,434.48,1303.44
94,28,10,4,322.99,1291.96
95,28,3,1,279.54,279.54
96,29,18,3,28.22,84.66
97,29,17,1,71.82,71.82
98,30,10,2,322.99,645.98
99,30,10,2,322.99,645.98
100,30,3,1,279.54,279.54
101,30,5,2,436.9,873.8
102,31,4,3,122.38,367.14
103,32,9,4,358.26,1433.04
104,32,1,2,356.36,712.72
105,33,7,5,419.51,2097.55
106,33,15,4,153.39,613.56
107,33,9,3,358.26,1074.78
108,34,9,5,358.26,1791.3
109,34,13,1,231.34,231.34
110,34,12,3,13.19,39.57
111,34,8,5,362.84,1814.2
112,35,19,1,268.96,268.96
113,36,1,1,356.36,356.36
114,36,20,2,379.56,759.12
115,36,13,3,231.34,694.02
116,36,2,4,195.91,783.64
117,36,6,5,436.94,2184.7
118,37,3,1,279.54,279.54
119,37,5,4,436.9,1747.6
120,38,14,5,434.48,2172.4
121,38,6,5,436.94,2184.7
122,38,17,3,71.82,215.46
123,39,9,2,358.26,716.52
124,40,19,1,268.96,268.96
125,40,5,2,436.9,873.8
126,40,3,2,279.54,559.08
127,40,19,2,268.96,537.92
128,40,11,2,236.31,472.62
129,41,18,3,28.22,84.66
130,41,17,1,71.82,71.82
131,41,1,1,356.36,356.36
132,41,13,2,231.34,462.68
133,42,15,2,153.39,306.78
134,42,19,4,268.96,1075.84
135,42,16,4,384.88,1539.52
136,42,12,2,13.19,26.38
137,42,15,5,153.39,766.95
138,43,18,5,28.22,141.1
139,43,1,5,356.36,1781.8
140,43,20,3,379.56,1138.68
141,43,20,4,379.56,1518.24
142,43,10,4,322.99,1291.96
143,44,9,4,358.26,1433.04
144,44,15,1,153.39,153.39
145,44,15,2,153.39,306.78
146,44,8,1,362.84,362.84
147,44,18,3,28.22,84.66
148,45,16,5,384.88,1924.4
149,45,9,2,358.26,716.52
150,45,2,4,195.91,783.64
151,45,6,3,436.94,1310.82
152,46,8,2,362.84,725.68
153,46,11,3,236.31,708.93
154,46,7,4,419.51,1678.04
155,46,6,4,436.94,1747.76
156,47,18,3,28.22,84.66
157,47,9,5,358.26,1791.3
158,47,6,2,436.94,873.88
159,48,19,5,268.96,1344.8
160,49,13,5,231.34,1156.7
161,49,18,5,28.22,141.1
162,49,13,5,231.34,1156.7
163,50,12,2,13.19,26.38
164,50,2,4,195.91,783.64
165,51,18,1,28.22,28.22
166,51,4,2,122.38,244.76
167,52,9,2,358.26,716.52
168,52,3,5,279.54,1397.7
169,52,19,2,268.96,537.92
170,52,15,4,153.39,613.56
171,52,3,5,279.54,1397.7
172,53,8,2,362.84,725.68
173,54,1,5,356.36,1781.8
174,54,10,3,322.99,968.97
175,54,18,2,28.22,56.44
176,55,2,3,195.91,587.73
177,55,9,2,358.26,716.52
178,55,17,5,71.82,359.1
179,55,4,5,122.38,611.9
180,56,19,2,268.96,537.92
181,57,6,3,436.94,1310.82
182,57,8,2,362.84,725.68
183,57,6,1,436.94,436.94
184,58,15,2,153.39,306.78
185,58,2,5,195.91,979.55
186,59,18,3,28.22,84.66
187,60,18,2,28.22,56.44
188,60,17,2,71.82,143.64
189,61,10,1,322.99,322.99
190,61,4,2,122.38,244.76
191,61,11,4,236.31,945.24
192,61,20,4,379.56,1518.24
193,62,17,1,71.82,71.82
194,63,14,4,434.48,1737.92
195,63,14,5,434.48,2172.4
196,63,9,4,358.26,1433.04
197,64,10,3,322.99,968.97
198,64,11,3,236.31,708.93
199,64,1,5,356.36,1781.8
200,64,20,5,379.56,1897.8
201,64,14,4,434.48,1737.92
202,65,13,3,231.34,694.02
203,66,12,5,13.19,65.95
204,66,15,2,153.39,306.78
205,67,8,1,362.84,362.84
206,67,18,4,28.22,112.88
207,68,9,3,358.26,1074.78
208,68,2,4,195.91,783.64
209,68,20,3,379.56,1138.68
210,68,11,4,236.31,945.24
211,68,19,1,268.96,268.96
212,69,18,2,28.22,56.44
213,69,15,5,153.39,766.95
214,69,14,4,434.48,1737.92
215,69,11,4,236.31,945.24
216,69,14,1,434.48,434.48
217,70,11,2,236.31,472.62
218,71,19,4,268.96,1075.84
219,72,2,5,195.91,979.55
220,72,20,1,379.56,379.56
221,72,19,4,268.96,1075.84
222,72,18,2,28.22,56.44
223,72,10,3,322.99,968.97
224,73,5,5,436.9,2184.5
225,73,5,5,436.9,2184.5
226,73,17,3,71.82,215.46
227,73,1,4,356.36,1425.44
228,74,17,1,71.82,71.82
229,74,15,1,153.39,153.39
230,75,5,5,436.9,2184.5
231,76,18,1,28.22,28.22
232,76,10,5,322.99,1614.95
233,76,15,4,153.39,613.56
234,77,1,1,356.36,356.36
235,77,19,1,268.96,268.96
236,77,2,4,195.91,783.64
237,78,12,1,13.19,13.19
238,78,20,1,379.56,379.56
239,79,7,1,419.51,419.51
240,79,20,4,379.56,1518.24
241,79,16,2,384.88,769.76
242,80,4,4,122.38,489.52
243,80,19,2,268.96,537.92
244,80,10,4,322.99,1291.96
245,80,1,5,356.36,1781.8
246,81,8,5,362.84,1814.2
247,81,9,1,358.26,358.26
248,82,19,2,268.96,537.92
249,83,11,1,236.31,236.31
250,83,7,2,419.51,839.02
251,83,18,4,28.22,112.88
252,83,9,3,358.26,1074.78
253,83,3,5,279.54,1397.7
254,84,9,4,358.26,1433.04
255,85,6,2,436.94,873.88
256,85,9,1,358.26,358.26
257,86,9,1,358.26,358.26
258,86,19,5,268.96,1344.8
259,86,19,3,268.96,806.88
260,86,13,3,231.34,694.02
261,86,19,3,268.96,806.88
262,87,10,2,322.99,645.98
263,87,11,4,236.31,945.24
264,88,1,1,356.36,356.36
265,88,13,1,231.34,231.34
266,88,19,2,268.96,537.92
267,88,1,5,356.36,1781.8
268,88,6,2,436.94,873.88
269,89,3,5,279.54,1397.7
270,89,10,5,322.99,1614.95
271,89,9,4,358.26,1433.04
272,89,10,2,322.99,645.98
273,89,9,5,358.26,1791.3
274,90,2,4,195.91,783.64
275,90,14,4,434.48,1737.92
276,90,2,2,195.91,391.82
277,90,16,4,384.88,1539.52
278,91,1,4,356.36,1425.44
279,91,16,5,384.88,1924.4
280,91,10,5,322.99,1614.95
281,91,19,1,268.96,268.96
282,91,16,1,384.88,384.88
283,92,1,5,356.36,1781.8
284,92,11,2,236.31,472.62
285,93,16,2,384.88,769.76
286,93,11,1,236.31,236.31
287,93,14,2,434.48,868.96
288,93,6,1,436.94,436.94
289,93,3,4,279.54,1118.16
290,94,1,5,356.36,1781.8
291,94,10,1,322.99,322.99
292,95,17,5,71.82,359.1
293,95,2,2,195.91,391.82
294,95,8,4,362.84,1451.36
295,95,6,1,436.94,436.94
296,95,6,5,436.94,2184.7
297,96,16,5,384.88,1924.4
298,97,14,4,434.48,1737.92
299,97,14,3,434.48,1303.44
300,98,4,4,122.38,489.52
301,98,14,2,434.48,868.96
302,98,16,4,384.88,1539.52
303,98,9,5,358.26,1791.3
304,99,10,5,322.99,1614.95
305,99,12,2,13.19,26.38
306,100,20,3,379.56,1138.68
307,100,16,4,384.88,1539.52
